Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: 0, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -4, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
Timestamp: 16, X: -6, Y: 9
